Student Name,PRN Number,Email
Advait Khanna,1472583690,advait1472@vit.edu
Bhavana Reddy,2583691470,bhavana2583@vit.edu
Chetan Kumar,3691472580,chetan3691@vit.edu
Deepika Patel,4712583690,deepika4712@vit.edu
Eknath Singh,5823691470,eknath5823@vit.edu
Farhan Gupta,6931472580,farhan6931@vit.edu
Gauri Mehta,7142583690,gauri7142@vit.edu
Harsh Desai,8253691470,harsh8253@vit.edu
Ishwari Joshi,9361472580,ishwari9361@vit.edu
Jagdish Nair,1473692580,jagdish1473@vit.edu
Kiran Rao,2581473690,kiran2581@vit.edu
Lalita Verma,3692581470,lalita3692@vit.edu
Manoj Bose,4713692580,manoj4713@vit.edu
Nivedita Menon,5821473690,nivedita5821@vit.edu
Om Prakash Pillai,6932581470,omprakash6932@vit.edu
Priyanka Yadav,7143692580,priyanka7143@vit.edu
Qureshi Das,8251473690,qureshi8251@vit.edu
Ranjit Mishra,9362581470,ranjit9362@vit.edu
Sakshi Trivedi,1473692581,sakshi1473@vit.edu
Tanmay Dubey,2581473691,tanmay2581@vit.edu
Ujjwala Pandey,3692581471,ujjwala3692@vit.edu
Vishal Thakur,4713692581,vishal4713@vit.edu
Waman Gandhi,5821473691,waman5821@vit.edu
Xavier Chatterjee,6932581471,xavier6932@vit.edu
Yamuna Mukherjee,7143692581,yamuna7143@vit.edu
Zafar Banerjee,8251473691,zafar8251@vit.edu
Achal Sharma,9362581471,achal9362@vit.edu
Bindu Kumar,1473692582,bindu1473@vit.edu
Chitra Singh,2581473692,chitra2581@vit.edu
Devendra Gupta,3692581472,devendra3692@vit.edu
Anita Mehta,4713692582,anita4713@vit.edu
Bhaskar Desai,5821473692,bhaskar5821@vit.edu
Chhaya Joshi,6932581472,chhaya6932@vit.edu
Dharmesh Nair,7143692582,dharmesh7143@vit.edu
Era Rao,8251473692,era8251@vit.edu
Fateh Verma,9362581472,fateh9362@vit.edu
Gayatri Bose,1473692583,gayatri1473@vit.edu
Hitesh Menon,2581473693,hitesh2581@vit.edu
Ishwar Pillai,3692581473,ishwar3692@vit.edu
Jasmin Yadav,4713692583,jasmin4713@vit.edu
Kalpesh Das,5821473693,kalpesh5821@vit.edu
Leena Mishra,6932581473,leena6932@vit.edu
Mangesh Trivedi,7143692583,mangesh7143@vit.edu
Nirmala Dubey,8251473693,nirmala8251@vit.edu
Omkar Pandey,9362581473,omkar9362@vit.edu
Pankaj Thakur,1473692584,pankaj1473@vit.edu
Rajeshwari Gandhi,2581473694,rajeshwari2581@vit.edu
Shailaja Chatterjee,3692581474,shailaja3692@vit.edu
Tejas Mukherjee,4713692584,tejas4713@vit.edu
Urmila Banerjee,5821473694,urmila5821@vit.edu
Vikas Sharma,6932581474,vikas6932@vit.edu
Yamini Reddy,7143692584,yamini7143@vit.edu
Zubin Kumar,8251473694,zubin8251@vit.edu
Aishwarya Singh,9362581474,aishwarya9362@vit.edu
Bhargavi Gupta,1473692585,bhargavi1473@vit.edu
Chaitanya Mehta,2581473695,chaitanya2581@vit.edu
Deepika Desai,3692581475,deepika3692@vit.edu
Eashwar Joshi,4713692585,eashwar4713@vit.edu
Fariya Nair,5821473695,fariya5821@vit.edu
Gautam Rao,6932581475,gautam6932@vit.edu
Harshada Verma,7143692585,harshada7143@vit.edu
Ishita Bose,8251473695,ishita8251@vit.edu
Jatin Menon,9362581475,jatin9362@vit.edu
Kiran Pillai,1473692586,kiran1473@vit.edu
Lalit Yadav,2581473696,lalit2581@vit.edu
Madhuri Das,3692581476,madhuri3692@vit.edu
Nilesh Mishra,4713692586,nilesh4713@vit.edu
Ojas Trivedi,5821473696,ojas5821@vit.edu
Pallavi Dubey,6932581476,pallavi6932@vit.edu
Qasim Pandey,7143692586,qasim7143@vit.edu
Rucha Thakur,8251473696,rucha8251@vit.edu
Sameer Gandhi,9362581476,sameer9362@vit.edu
Tanvi Chatterjee,1473692587,tanvi1473@vit.edu
Uday Mukherjee,2581473697,uday2581@vit.edu
Vandana Banerjee,3692581477,vandana3692@vit.edu
