Student Name,PRN Number,Email
Abhishek Sharma,1234876590,abhishek1234@vit.edu
Babita Reddy,2345987601,babita2345@vit.edu
Chandan Kumar,3456098712,chandan3456@vit.edu
Damini Patel,4567109823,damini4567@vit.edu
Eknath Singh,5678210934,eknath5678@vit.edu
Falguni Gupta,6789321045,falguni6789@vit.edu
Ganesh Mehta,7890432156,ganesh7890@vit.edu
Hemlata Desai,8901543267,hemlata8901@vit.edu
Inder Joshi,9012654378,inder9012@vit.edu
Jyoti Nair,1123765489,jyoti1123@vit.edu
Kishore Rao,2234876590,kishore2234@vit.edu
Lavanya Verma,3345987601,lavanya3345@vit.edu
Mithun Bose,4456098712,mithun4456@vit.edu
Nayana Menon,5567109823,nayana5567@vit.edu
Omkar Pillai,6678210934,omkar6678@vit.edu
Pratibha Yadav,7789321045,pratibha7789@vit.edu
Quasar Das,8890432156,quasar8890@vit.edu
Ranjana Mishra,9901543267,ranjana9901@vit.edu
Sachin Trivedi,1012654378,sachin1012@vit.edu
Tanuja Dubey,2123765489,tanuja2123@vit.edu
Ujjwal Pandey,3234876590,ujjwal3234@vit.edu
Varsha Thakur,4345987601,varsha4345@vit.edu
Waseem Gandhi,5456098712,waseem5456@vit.edu
Xena Chatterjee,6567109823,xena6567@vit.edu
Yogesh Mukherjee,7678210934,yogesh7678@vit.edu
Zarina Banerjee,8789321045,zarina8789@vit.edu
Ajay Sharma,9890432156,ajay9890@vit.edu
Bindu Kumar,1901543267,bindu1901@vit.edu
Chitra Singh,2012654378,chitra2012@vit.edu
Devendra Gupta,3123765489,devendra3123@vit.edu
Anita Mehta,4234876590,anita4234@vit.edu
Bhaskar Desai,5345987601,bhaskar5345@vit.edu
Chhaya Joshi,6456098712,chhaya6456@vit.edu
Dharmesh Nair,7567109823,dharmesh7567@vit.edu
Era Rao,8678210934,era8678@vit.edu
Fateh Verma,9789321045,fateh9789@vit.edu
Gayatri Bose,1890432156,gayatri1890@vit.edu
Hitesh Menon,2901543267,hitesh2901@vit.edu
Ishwar Pillai,3012654378,ishwar3012@vit.edu
Jasmin Yadav,4123765489,jasmin4123@vit.edu
Kalpesh Das,5234876590,kalpesh5234@vit.edu
Leena Mishra,6345987601,leena6345@vit.edu
Mangesh Trivedi,7456098712,mangesh7456@vit.edu
Nirmala Dubey,8567109823,nirmala8567@vit.edu
Om Prakash Pandey,9678210934,omprakash9678@vit.edu
Pankaj Thakur,1789321045,pankaj1789@vit.edu
Rajeshwari Gandhi,2890432156,rajeshwari2890@vit.edu
Shailaja Chatterjee,3901543267,shailaja3901@vit.edu
Tejas Mukherjee,4012654378,tejas4012@vit.edu
Urmila Banerjee,5123765489,urmila5123@vit.edu
Vikas Sharma,6234876590,vikas6234@vit.edu
Yamini Reddy,7345987601,yamini7345@vit.edu
Zubin Kumar,8456098712,zubin8456@vit.edu
Aishwarya Singh,9567109823,aishwarya9567@vit.edu
Bhargavi Gupta,1678210934,bhargavi1678@vit.edu
Chaitanya Mehta,2789321045,chaitanya2789@vit.edu
Deepika Desai,3890432156,deepika3890@vit.edu
Eashwar Joshi,4901543267,eashwar4901@vit.edu
Fariya Nair,5012654378,fariya5012@vit.edu
Gautam Rao,6123765489,gautam6123@vit.edu
Harshada Verma,7234876590,harshada7234@vit.edu
Ishita Bose,8345987601,ishita8345@vit.edu
Jatin Menon,9456098712,jatin9456@vit.edu
Kiran Pillai,1567109823,kiran1567@vit.edu
Lalit Yadav,2678210934,lalit2678@vit.edu
Madhavi Das,3789321045,madhavi3789@vit.edu
Nilesh Mishra,4890432156,nilesh4890@vit.edu
Ojas Trivedi,5901543267,ojas5901@vit.edu
Pallavi Dubey,6012654378,pallavi6012@vit.edu
Qasim Pandey,7123765489,qasim7123@vit.edu
Rucha Thakur,8234876590,rucha8234@vit.edu
Sameer Gandhi,9345987601,sameer9345@vit.edu
Tanvi Chatterjee,1456098712,tanvi1456@vit.edu
Uday Mukherjee,2567109823,uday2567@vit.edu
Vandana Banerjee,3678210934,vandana3678@vit.edu
