Student Name,PRN Number,Email
Akshay Sharma,1029384756,akshay1029@vit.edu
Bharti Reddy,2138495867,bharti2138@vit.edu
Chetna Kumar,3247506978,chetna3247@vit.edu
Deepak Patel,4356617089,deepak4356@vit.edu
Ekta Singh,5465728190,ekta5465@vit.edu
Firoza Gupta,6574839201,firoza6574@vit.edu
Gaurav Mehta,7683940312,gaurav7683@vit.edu
Harsha Desai,8792051423,harsha8792@vit.edu
Ishaan Joshi,9801162534,ishaan9801@vit.edu
Jagruti Nair,1910273645,jagruti1910@vit.edu
Kaushik Rao,2029384756,kaushik2029@vit.edu
Lipika Verma,3138495867,lipika3138@vit.edu
Manoj Bose,4247506978,manoj4247@vit.edu
Nivedita Menon,5356617089,nivedita5356@vit.edu
Omkar Pillai,6465728190,omkar6465@vit.edu
Pradeep Yadav,7574839201,pradeep7574@vit.edu
Quasim Das,8683940312,quasim8683@vit.edu
Rashmi Mishra,9792051423,rashmi9792@vit.edu
Shankar Trivedi,1801162534,shankar1801@vit.edu
Tejashree Dubey,2910273645,tejashree2910@vit.edu
Uttam Pandey,3029384756,uttam3029@vit.edu
Vidya Thakur,4138495867,vidya4138@vit.edu
Wahid Gandhi,5247506978,wahid5247@vit.edu
Xavier Chatterjee,6356617089,xavier6356@vit.edu
Yamuna Mukherjee,7465728190,yamuna7465@vit.edu
Zainab Banerjee,8574839201,zainab8574@vit.edu
Aruna Sharma,9683940312,aruna9683@vit.edu
Brijesh Kumar,1792051423,brijesh1792@vit.edu
Charulata Singh,2801162534,charulata2801@vit.edu
Dilip Gupta,3910273645,dilip3910@vit.edu
Anjani Mehta,4029384756,anjani4029@vit.edu
Bhavik Desai,5138495867,bhavik5138@vit.edu
Chandni Joshi,6247506978,chandni6247@vit.edu
Daksha Nair,7356617089,daksha7356@vit.edu
Eshwar Rao,8465728190,eshwar8465@vit.edu
Falguni Verma,9574839201,falguni9574@vit.edu
Girija Bose,1683940312,girija1683@vit.edu
Hemant Menon,2792051423,hemant2792@vit.edu
Indira Pillai,3801162534,indira3801@vit.edu
Jitendra Yadav,4910273645,jitendra4910@vit.edu
Kalyani Das,5029384756,kalyani5029@vit.edu
Lakshman Mishra,6138495867,lakshman6138@vit.edu
Madhavi Trivedi,7247506978,madhavi7247@vit.edu
Narayan Dubey,8356617089,narayan8356@vit.edu
Omprakash Pandey,9465728190,omprakash9465@vit.edu
Purnima Thakur,1574839201,purnima1574@vit.edu
Rajendra Gandhi,2683940312,rajendra2683@vit.edu
Shakuntala Chatterjee,3792051423,shakuntala3792@vit.edu
Trilok Mukherjee,4801162534,trilok4801@vit.edu
Uma Banerjee,5910273645,uma5910@vit.edu
Virender Sharma,6029384756,virender6029@vit.edu
Anupama Reddy,7138495867,anupama7138@vit.edu
Bipin Kumar,8247506978,bipin8247@vit.edu
Charvi Singh,9356617089,charvi9356@vit.edu
Dhanraj Gupta,1465728190,dhanraj1465@vit.edu
Ekavali Mehta,2574839201,ekavali2574@vit.edu
Firoz Desai,3683940312,firoz3683@vit.edu
Gaurika Joshi,4792051423,gaurika4792@vit.edu
Himanshu Nair,5801162534,himanshu5801@vit.edu
Ila Rao,6910273645,ila6910@vit.edu
Jagat Verma,7029384756,jagat7029@vit.edu
Kanan Bose,8138495867,kanan8138@vit.edu
Lakshya Menon,9247506978,lakshya9247@vit.edu
Manav Pillai,1356617089,manav1356@vit.edu
Nandini Yadav,2465728190,nandini2465@vit.edu
Ojaswini Das,3574839201,ojaswini3574@vit.edu
Pavitra Mishra,4683940312,pavitra4683@vit.edu
Qamar Trivedi,5792051423,qamar5792@vit.edu
Rachna Dubey,6801162534,rachna6801@vit.edu
Shailesh Pandey,7910273645,shailesh7910@vit.edu
Tushar Thakur,8029384756,tushar8029@vit.edu
Ujwal Gandhi,9138495867,ujwal9138@vit.edu
Vibha Chatterjee,1247506978,vibha1247@vit.edu
Wasim Mukherjee,2356617089,wasim2356@vit.edu
Xara Banerjee,3465728190,xara3465@vit.edu
Yashoda Sharma,4574839201,yashoda4574@vit.edu
Zorawar Reddy,5683940312,zorawar5683@vit.edu
