Student Name,PRN Number,Email
Ajinkya Sharma,9876543210,ajinkya9876@vit.edu
Bhakti Reddy,8765432109,bhakti8765@vit.edu
Chinmay Kumar,7654321098,chinmay7654@vit.edu
Deepali Patel,6543210987,deepali6543@vit.edu
Eknath Singh,5432109876,eknath5432@vit.edu
Faiyaz Gupta,4321098765,faiyaz4321@vit.edu
Gargi Mehta,3210987654,gargi3210@vit.edu
Hemant Desai,2109876543,hemant2109@vit.edu
Indrajeet Joshi,1098765432,indrajeet1098@vit.edu
Jayashree Nair,1987654321,jayashree1987@vit.edu
Kartik Rao,2876543210,kartik2876@vit.edu
Lalita Verma,3765432109,lalita3765@vit.edu
Makarand Bose,4654321098,makarand4654@vit.edu
Nandita Menon,5543210987,nandita5543@vit.edu
Ojas Pillai,6432109876,ojas6432@vit.edu
Pramod Yadav,7321098765,pramod7321@vit.edu
Quamar Das,8210987654,quamar8210@vit.edu
Radhika Mishra,9109876543,radhika9109@vit.edu
Satyam Trivedi,1098765432,satyam1098@vit.edu
Trupti Dubey,2987654321,trupti2987@vit.edu
Umesh Pandey,3876543210,umesh3876@vit.edu
Vaidehi Thakur,4765432109,vaidehi4765@vit.edu
Waman Gandhi,5654321098,waman5654@vit.edu
Xavier Chatterjee,6543210987,xavier6543@vit.edu
Yogita Mukherjee,7432109876,yogita7432@vit.edu
Zulekha Banerjee,8321098765,zulekha8321@vit.edu
Abhijit Sharma,9210987654,abhijit9210@vit.edu
Bhavna Kumar,1109876543,bhavna1109@vit.edu
Chandrakant Singh,2098765432,chandrakant2098@vit.edu
Damyanti Gupta,3087654321,damyanti3087@vit.edu
Anup Mehta,4076543210,anup4076@vit.edu
Barkha Desai,5065432109,barkha5065@vit.edu
Chetan Joshi,6054321098,chetan6054@vit.edu
Dhanashri Nair,7043210987,dhanashri7043@vit.edu
Ekta Rao,8032109876,ekta8032@vit.edu
Farida Verma,9021098765,farida9021@vit.edu
Gulab Bose,1010987654,gulab1010@vit.edu
Hari Menon,2109876543,hari2109@vit.edu
Ila Pillai,3098765432,ila3098@vit.edu
Jagdish Yadav,4087654321,jagdish4087@vit.edu
Kavita Das,5076543210,kavita5076@vit.edu
Laxman Mishra,6065432109,laxman6065@vit.edu
Minal Trivedi,7054321098,minal7054@vit.edu
Nikhil Dubey,8043210987,nikhil8043@vit.edu
Omprakash Pandey,9032109876,omprakash9032@vit.edu
Pushpa Thakur,1021098765,pushpa1021@vit.edu
Raghav Gandhi,2019876543,raghav2019@vit.edu
Sangita Chatterjee,3008765432,sangita3008@vit.edu
Tanmay Mukherjee,4097654321,tanmay4097@vit.edu
Usha Banerjee,5086543210,usha5086@vit.edu
Vijay Sharma,6075432109,vijay6075@vit.edu
Yamini Reddy,7064321098,yamini7064@vit.edu
Zafar Kumar,8053210987,zafar8053@vit.edu
Aarti Singh,9042109876,aarti9042@vit.edu
Bhavesh Gupta,1031098765,bhavesh1031@vit.edu
Charu Mehta,2020987654,charu2020@vit.edu
Dev Desai,3019876543,dev3019@vit.edu
Esha Joshi,4008765432,esha4008@vit.edu
Farhan Nair,5097654321,farhan5097@vit.edu
Gauri Rao,6086543210,gauri6086@vit.edu
Harsh Verma,7075432109,harsh7075@vit.edu
Ishita Bose,8064321098,ishita8064@vit.edu
Jatin Menon,9053210987,jatin9053@vit.edu
Komal Pillai,1042109876,komal1042@vit.edu
Lalit Yadav,2031098765,lalit2031@vit.edu
Madhuri Das,3020987654,madhuri3020@vit.edu
Nilesh Mishra,4019876543,nilesh4019@vit.edu
Ojaswini Trivedi,5008765432,ojaswini5008@vit.edu
Pankaj Dubey,6097654321,pankaj6097@vit.edu
Qamar Pandey,7086543210,qamar7086@vit.edu
Ruchika Thakur,8075432109,ruchika8075@vit.edu
Shailendra Gandhi,9064321098,shailendra9064@vit.edu
Tejaswini Chatterjee,1053210987,tejaswini1053@vit.edu
Uday Mukherjee,2042109876,uday2042@vit.edu
Vaishali Banerjee,3031098765,vaishali3031@vit.edu
Waseem Sharma,4020987654,waseem4020@vit.edu
