Student Name,PRN Number,Email
Achal Sharma,1357246809,achal1357@vit.edu
Bindu Reddy,2468135790,bindu2468@vit.edu
Chirag Kumar,3579024681,chirag3579@vit.edu
Devika Patel,4680913572,devika4680@vit.edu
Esha Singh,5791802463,esha5791@vit.edu
Fenil Gupta,6802691354,fenil6802@vit.edu
Geet Mehta,7913580245,geet7913@vit.edu
Himani Desai,8024479136,himani8024@vit.edu
Ishan Joshi,9135368027,ishan9135@vit.edu
Jignesh Nair,1246257918,jignesh1246@vit.edu
Kirti Rao,2357146809,kirti2357@vit.edu
Lovely Verma,3468035790,lovely3468@vit.edu
Mithilesh Bose,4579924681,mithilesh4579@vit.edu
Nirmal Menon,5680813572,nirmal5680@vit.edu
Oinam Pillai,6791702463,oinam6791@vit.edu
Prasad Yadav,7802691354,prasad7802@vit.edu
Quamar Das,8913580245,quamar8913@vit.edu
Rupali Mishra,9024479136,rupali9024@vit.edu
Siddharth Trivedi,1135368027,siddharth1135@vit.edu
Tara Dubey,2246257918,tara2246@vit.edu
Uday Pandey,3357146809,uday3357@vit.edu
Vijayalakshmi Thakur,4468035790,vijayalakshmi4468@vit.edu
Waris Gandhi,5579924681,waris5579@vit.edu
Xavier Chatterjee,6680813572,xavier6680@vit.edu
Yamini Mukherjee,7791702463,yamini7791@vit.edu
Zeeshan Banerjee,8802691354,zeeshan8802@vit.edu
Arvind Sharma,9913580245,arvind9913@vit.edu
Bhagyashree Kumar,1024479136,bhagyashree1024@vit.edu
Chandrashekhar Singh,2135368027,chandrashekhar2135@vit.edu
Divya Gupta,3246257918,divya3246@vit.edu
Anant Mehta,4357146809,anant4357@vit.edu
Bhumi Desai,5468035790,bhumi5468@vit.edu
Chaitanya Joshi,6579924681,chaitanya6579@vit.edu
Darshana Nair,7680813572,darshana7680@vit.edu
Eknath Rao,8791702463,eknath8791@vit.edu
Falgun Verma,9802691354,falgun9802@vit.edu
Gajanand Bose,1913580245,gajanand1913@vit.edu
Haripriya Menon,2024479136,haripriya2024@vit.edu
Ishwar Pillai,3135368027,ishwar3135@vit.edu
Jaswinder Yadav,4246257918,jaswinder4246@vit.edu
Krishna Das,5357146809,krishna5357@vit.edu
Lalita Mishra,6468035790,lalita6468@vit.edu
Manju Trivedi,7579924681,manju7579@vit.edu
Naresh Dubey,8680813572,naresh8680@vit.edu
Omprakash Pandey,9791702463,omprakash9791@vit.edu
Pallavi Thakur,1802691354,pallavi1802@vit.edu
Rajan Gandhi,2913580245,rajan2913@vit.edu
Shubha Chatterjee,3024479136,shubha3024@vit.edu
Triveni Mukherjee,4135368027,triveni4135@vit.edu
Uttara Banerjee,5246257918,uttara5246@vit.edu
Vimal Sharma,6357146809,vimal6357@vit.edu
Yashoda Reddy,7468035790,yashoda7468@vit.edu
Zubin Kumar,8579924681,zubin8579@vit.edu
Aishani Singh,9680813572,aishani9680@vit.edu
Bhargav Gupta,1791702463,bhargav1791@vit.edu
