Student Name,PRN Number,Email
Aditya Sharma,1597534821,aditya.sharma@vit.edu
Bhavana Reddy,7539516281,bhavana.reddy@vit.edu
Chetan Kumar,9517538461,chetan.kumar@vit.edu
Divya Patel,3571598261,divya.patel@vit.edu
Esha Singh,7531594821,esha.singh@vit.edu
Farhan Gupta,1593572841,farhan.gupta@vit.edu
Gauri Mehta,9513576281,gauri.mehta@vit.edu
Harsh Desai,3579518461,harsh.desai@vit.edu
Isha Joshi,7539512841,isha.joshi@vit.edu
Jayesh Nair,1597536281,jayesh.nair@vit.edu
Komal Rao,9517532841,komal.rao@vit.edu
Lalit Verma,3571596281,lalit.verma@vit.edu
Madhuri Bose,7531592841,madhuri.bose@vit.edu
Nilesh Menon,1593576281,nilesh.menon@vit.edu
Ojas Pillai,9513572841,ojas.pillai@vit.edu
Pallavi Yadav,3579516281,pallavi.yadav@vit.edu
Qureshi Ali,7539512841,qureshi.ali@vit.edu
Rinku Das,1597536281,rinku.das@vit.edu
Sagar Mishra,9517532841,sagar.mishra@vit.edu
Trupti Trivedi,3571596281,trupti.trivedi@vit.edu
Umesh Dubey,7531592841,umesh.dubey@vit.edu
Vaishali Pandey,1593576281,vaishali.pandey@vit.edu
Wasim Thakur,9513572841,wasim.thakur@vit.edu
Xavier Gandhi,3579516281,xavier.gandhi@vit.edu
Yamini Chatterjee,7539512841,yamini.chatterjee@vit.edu
Zafar Mukherjee,1597536281,zafar.mukherjee@vit.edu
Aarti Banerjee,9517532841,aarti.banerjee@vit.edu
Bhavesh Sharma,3571596281,bhavesh.sharma@vit.edu
Charu Kumar,7531592841,charu.kumar@vit.edu
Dinesh Singh,1593576281,dinesh.singh@vit.edu
Ekta Gupta,9513572841,ekta.gupta@vit.edu
Firoz Mehta,3579516281,firoz.mehta@vit.edu
Girish Desai,7539512841,girish.desai@vit.edu
Hema Joshi,1597536281,hema.joshi@vit.edu
Irfan Nair,9517532841,irfan.nair@vit.edu
Jaya Rao,3571596281,jaya.rao@vit.edu
Kiran Verma,7531592841,kiran.verma@vit.edu
Lata Bose,1593576281,lata.bose@vit.edu
Mukesh Menon,9513572841,mukesh.menon@vit.edu
Nandini Pillai,3579516281,nandini.pillai@vit.edu
Om Yadav,7539512841,om.yadav@vit.edu
Parul Das,1597536281,parul.das@vit.edu
Qamar Mishra,9517532841,qamar.mishra@vit.edu
Rakesh Trivedi,3571596281,rakesh.trivedi@vit.edu
Seema Dubey,7531592841,seema.dubey@vit.edu
Tara Pandey,1593576281,tara.pandey@vit.edu
Uday Thakur,9513572841,uday.thakur@vit.edu
Vandana Gandhi,3579516281,vandana.gandhi@vit.edu
Waman Chatterjee,7539512841,waman.chatterjee@vit.edu
Yashoda Mukherjee,1597536281,yashoda.mukherjee@vit.edu
Zarina Banerjee,9517532841,zarina.banerjee@vit.edu
Ajay Sharma,3571596281,ajay.sharma@vit.edu
Bindu Reddy,7531592841,bindu.reddy@vit.edu
Chitra Kumar,1593576281,chitra.kumar@vit.edu
Devendra Patel,9513572841,devendra.patel@vit.edu
Anita Singh,3579516281,anita.singh@vit.edu
Bhaskar Gupta,7539512841,bhaskar.gupta@vit.edu
Chhaya Mehta,1597536281,chhaya.mehta@vit.edu
Dharmesh Desai,9517532841,dharmesh.desai@vit.edu
Era Joshi,3571596281,era.joshi@vit.edu
Fateh Nair,7531592841,fateh.nair@vit.edu
Gayatri Rao,1593576281,gayatri.rao@vit.edu
Hitesh Verma,9513572841,hitesh.verma@vit.edu
Ishwar Bose,3579516281,ishwar.bose@vit.edu
Jasmin Menon,7539512841,jasmin.menon@vit.edu
Kalpesh Pillai,1597536281,kalpesh.pillai@vit.edu
Leena Yadav,9517532841,leena.yadav@vit.edu
Mangesh Das,3571596281,mangesh.das@vit.edu
Nirmala Mishra,7531592841,nirmala.mishra@vit.edu
Omkar Trivedi,1593576281,omkar.trivedi@vit.edu
Pankaj Dubey,9513572841,pankaj.dubey@vit.edu
Rajeshwari Pandey,3579516281,rajeshwari.pandey@vit.edu
Shailaja Thakur,7539512841,shailaja.thakur@vit.edu
Tejas Gandhi,1597536281,tejas.gandhi@vit.edu
Urmila Chatterjee,9517532841,urmila.chatterjee@vit.edu
Vikas Mukherjee,3571596281,vikas.mukherjee@vit.edu
Yamini Banerjee,7531592841,yamini.banerjee@vit.edu
Zubin Sharma,1593576281,zubin.sharma@vit.edu
Aishani Reddy,9513572841,aishani.reddy@vit.edu
Bhargav Kumar,3579516281,bhargav.kumar@vit.edu
