Student Name,PRN Number,Email
Aarav Kulkarni,8347291650,aarav8347@vit.edu
Ira Patil,5926813470,ira5926@vit.edu
Rohan Shetty,7619204835,rohan7619@vit.edu
Sneha Iyer,4082759136,sneha4082@vit.edu
Kunal Deshmukh,9753146820,kunal9753@vit.edu
Meera Nair,2165947380,meera2165@vit.edu
Aditya Joshi,6802479153,aditya6802@vit.edu
Pooja Bansal,3579182460,pooja3579@vit.edu
Nikhil Verma,1496827350,nikhil1496@vit.edu
Ananya Gupta,8235701964,ananya8235@vit.edu
Harsh Vora,7019642583,harsh7019@vit.edu
Divya Shah,4682139750,divya4682@vit.edu
Raj Mehta,9357812460,raj9357@vit.edu
Simran Kaur,5824697310,simran5824@vit.edu
Tanishq Jain,2147358960,tanishq2147@vit.edu
Ritika Sinha,7964021358,ritika7964@vit.edu
Yuvraj Singh,3509186427,yuvraj3509@vit.edu
Neha Kapoor,6812753940,neha6812@vit.edu
Arjun Reddy,9273518640,arjun9273@vit.edu
Kavya Nair,5648209731,kavya5648@vit.edu
Manav Aggarwal,3109847265,manav3109@vit.edu
Ishita Choudhary,7582691403,ishita7582@vit.edu
Dev Malhotra,8916402735,dev8916@vit.edu
Priyanshi Saxena,4027159683,priyanshi4027@vit.edu
Sarthak Mishra,6732098451,sarthak6732@vit.edu
Ankit Tiwari,9501387642,ankit9501@vit.edu
Riya Ghosh,2874519360,riya2874@vit.edu
Omkar Jadhav,6149702835,omkar6149@vit.edu
Tanvi Kulshreshtha,7391826405,tanvi7391@vit.edu
Abhishek Pawar,8256301947,abhishek8256@vit.edu
Shreya Dutta,1948763520,shreya1948@vit.edu
Varun Pillai,6823951074,varun6823@vit.edu
Nisha Arora,4037281965,nisha4037@vit.edu
Lakshya Bhatia,9713648205,lakshya9713@vit.edu
Rakesh Chavan,2587409136,rakesh2587@vit.edu
Sonal Yadav,7365812049,sonal7365@vit.edu
Amitabh Soni,8402916735,amitabh8402@vit.edu
Kritika Sehgal,1627395804,kritika1627@vit.edu
Vivek Shukla,5937201846,vivek5937@vit.edu
Anushree Naik,7149362580,anushree7149@vit.edu
Mohit Rajput,8691504723,mohit8691@vit.edu
Deepika Kulshreshtha,3057198642,deepika3057@vit.edu
Rahul Tripathi,9276105834,rahul9276@vit.edu
Swati Bhardwaj,4819037265,swati4819@vit.edu
Kiran More,7351029846,kiran7351@vit.edu
Pratik Salunke,6084139752,pratik6084@vit.edu
Sagar Patwardhan,1942638750,sagar1942@vit.edu
Isha Purohit,8629501734,isha8629@vit.edu
Nitin Khandelwal,4738019652,nitin4738@vit.edu
Rohini Iyer,6502941837,rohini6502@vit.edu
